title,size,description,price,img_link
Nike Dunk Low Retro,40 EU,Scarpa da uomo,119.99€,https://img01.ztat.net/article/spp-media-p1/a5fe30f4506b30778b35bd5108a45c6a/691caa8f7eb941f7bdf7a78d526837c5.jpg?imwidth=762&filter=packshot
Nike Dunk Low Retro,41 EU,Scarpa da uomo,119.99€,https://img01.ztat.net/article/spp-media-p1/a5fe30f4506b30778b35bd5108a45c6a/691caa8f7eb941f7bdf7a78d526837c5.jpg?imwidth=762&filter=packshot
Nike Dunk Low Retro,42 EU,Scarpa da uomo,119.99€,https://img01.ztat.net/article/spp-media-p1/a5fe30f4506b30778b35bd5108a45c6a/691caa8f7eb941f7bdf7a78d526837c5.jpg?imwidth=762&filter=packshot
Nike Dunk Low Retro,43 EU,Scarpa da uomo,119.99€,https://img01.ztat.net/article/spp-media-p1/a5fe30f4506b30778b35bd5108a45c6a/691caa8f7eb941f7bdf7a78d526837c5.jpg?imwidth=762&filter=packshot
Nike Dunk Low Retro,44 EU,Scarpa da uomo,119.99€,https://img01.ztat.net/article/spp-media-p1/a5fe30f4506b30778b35bd5108a45c6a/691caa8f7eb941f7bdf7a78d526837c5.jpg?imwidth=762&filter=packshot
Nike Air Force 1 '07,42 EU,Scarpa da uomo nera,129.99€,https://img01.ztat.net/article/spp-media-p1/a6c4037c874c4acbb3a71d75c825c9aa/1a4e2553c5484929b68c8949de774d75.jpg?imwidth=762&filter=packshot
Nike Air Force 1 '07,43 EU,Scarpa da uomo nera,129.99€,https://img01.ztat.net/article/spp-media-p1/a6c4037c874c4acbb3a71d75c825c9aa/1a4e2553c5484929b68c8949de774d75.jpg?imwidth=762&filter=packshot
Nike Air Force 1 '07,46 EU,Scarpa da uomo nera,129.99€,https://img01.ztat.net/article/spp-media-p1/a6c4037c874c4acbb3a71d75c825c9aa/1a4e2553c5484929b68c8949de774d75.jpg?imwidth=762&filter=packshot
